"url","title"
"https://localhost:3000/records/youngest-atp-500-finalists","Youngest ATP 500 Finalists"
"https://localhost:3000/records/oldest-title-winners","Oldest Title Winners"
"https://localhost:3000/records/oldest-grand-slam-title-winners","Oldest Grand Slam Title Winners"
"https://localhost:3000/records/oldest-masters-1000-title-winners","Oldest Masters 1000 Title Winners"
"https://localhost:3000/records/oldest-atp-finals-title-winners","Oldest ATP Finals Title Winners"
"https://localhost:3000/records/oldest-atp-250-title-winners","Oldest ATP 250 Title Winners"
"https://localhost:3000/records/oldest-atp-500-title-winners","Oldest ATP 500 Title Winners"
"https://localhost:3000/records/oldest-davis-cup-title-winners","Oldest Davis Cup Title Winners"
"https://localhost:3000/records/oldest-hard-court-title-winners","Oldest Hard Court Title Winners"
"https://localhost:3000/records/oldest-clay-court-title-winners","Oldest Clay Court Title Winners"
"https://localhost:3000/records/oldest-grass-court-title-winners","Oldest Grass Court Title Winners"
"https://localhost:3000/records/oldest-carpet-court-title-winners","Oldest Carpet Court Title Winners"
"https://localhost:3000/records/oldest-grand-slam-hard-court-title-winners","Oldest Grand Slam Hard Court Title Winners"
"https://localhost:3000/records/oldest-grand-slam-clay-court-title-winners","Oldest Grand Slam Clay Court Title Winners"
"https://localhost:3000/records/oldest-grand-slam-grass-court-title-winners","Oldest Grand Slam Grass Court Title Winners"
"https://localhost:3000/records/oldest-grand-slam-carpet-court-title-winners","Oldest Grand Slam Carpet Court Title Winners"
"https://localhost:3000/records/oldest-masters-1000-hard-court-title-winners","Oldest Masters 1000 Hard Court Title Winners"
"https://localhost:3000/records/oldest-masters-1000-clay-court-title-winners","Oldest Masters 1000 Clay Court Title Winners"
"https://localhost:3000/records/oldest-masters-1000-grass-court-title-winners","Oldest Masters 1000 Grass Court Title Winners"
"https://localhost:3000/records/oldest-masters-1000-carpet-court-title-winners","Oldest Masters 1000 Carpet Court Title Winners"
"https://localhost:3000/records/oldest-atp-finals-hard-court-title-winners","Oldest ATP Finals Hard Court Title Winners"
"https://localhost:3000/records/oldest-atp-finals-clay-court-title-winners","Oldest ATP Finals Clay Court Title Winners"
"https://localhost:3000/records/oldest-atp-finals-grass-court-title-winners","Oldest ATP Finals Grass Court Title Winners"
"https://localhost:3000/records/oldest-atp-finals-carpet-court-title-winners","Oldest ATP Finals Carpet Court Title Winners"
"https://localhost:3000/records/oldest-atp-250-hard-court-title-winners","Oldest ATP 250 Hard Court Title Winners"
"https://localhost:3000/records/oldest-atp-250-clay-court-title-winners","Oldest ATP 250 Clay Court Title Winners"
"https://localhost:3000/records/oldest-atp-250-grass-court-title-winners","Oldest ATP 250 Grass Court Title Winners"
"https://localhost:3000/records/oldest-atp-250-carpet-court-title-winners","Oldest ATP 250 Carpet Court Title Winners"
"https://localhost:3000/records/oldest-atp-500-hard-court-title-winners","Oldest ATP 500 Hard Court Title Winners"
"https://localhost:3000/records/oldest-atp-500-clay-court-title-winners","Oldest ATP 500 Clay Court Title Winners"
"https://localhost:3000/records/oldest-atp-500-grass-court-title-winners","Oldest ATP 500 Grass Court Title Winners"
